Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,NY,2021,"12        ",Male,18,Left-Handed,165,25.7,,2,Bus,40,0.355,37,Other,583,642,583,497,663,1000,25.7,"Same length",,,"Ring finger",May,Winter,No,No,Pizza/Pasta,Tea,History,6,12,4,"Yes - broadband connection","Text messaging",55,60,2hrs,8mins,2hr,6hrs,6hrs,7hrs,14hrs,20hrs,3hrs,1hr,0,20hrs,"Very little","Graduate degree","Rock and roll","Freeze time",Rich,Actor,"International aid"
USA,NY,2021,"12        ",Female,17,Right-Handed,156,22,168,2,"Rail (Train/Tram/Subway)",39,0.324,26,Walking/Hiking,872,786,893,850,513,658,22,"Same length",8.7,9.8,"Ring finger",September,Fall,No,No,Breads/Sandwiches,Water,Other,7,9,4,"Yes - broadband connection","Text messaging",60,50,15,25,10,5,6,20,50,15,70,20,0,7,"A lot","Graduate degree","Punk rock","Freeze time",Happy,Friend,"Education/Youth development"
USA,NY,2021,"12        ",Female,17,Right-Handed,1.63,38,60,2,Bus,21min,1.062,36,Basketball,1000,1000,1000,1000,100,200,38.5,"Right foot",8,6,"Ring finger",November,Summer,No,No,Pizza/Pasta,"Energy drink",English,0,8,3,"Yes - broadband connection",Telephone,22,16,2,3,4,4,1,2,6,1,2,1,2,0,Some,"High school",Pop,Telepathy,Rich,Actor,Environment
USA,NY,2021,"12        ",Male,17,Right-Handed,183,,,1,Bus,40,.409,45,Basketball,,,,,,,,,,,"Ring finger",May,Summer,Yes,No,Meat,"Soft drink (caffeinated)",History,6,9,4,"Yes - broadband connection","Internet chat or instant messaging",90,82,5,2,15,7,6,40,12,15,13,1,0,0,"A lot","Graduate degree","Rap/Hip hop",Telepathy,Rich,Actor,Religious
USA,NY,2021,"12        ",Female,17,Right-Handed,170,22,169,2,"Rail (Train/Tram/Subway)",30,0.326,37,Walking/Hiking,1000,952,888,856,829,1000,22.3,"Left foot",73,78,"Ring finger",December,Winter,No,No,Meat,Water,"Mathematics and statistics",5,9,4,"Yes - broadband connection","Text messaging",37,43,2,5,7,20,4,1,10,2,25,2,0,3,Some,"Graduate degree",Pop,"Freeze time",Happy,Relative,Health
USA,NY,2021,"12        ",Female,17,Right-Handed,163,26,163,2,"Rail (Train/Tram/Subway)",55,.424,29,Athletics,100,100,250,100,250,250,24,"Right foot",73,76,"Ring finger",November,Fall,Yes,No,Fruit,Water,Music,6.5,8,4,"Yes - broadband connection","Text messaging",75,75,8,10,10,8,5,0,10,8,50,5,10,8,Some,"Graduate degree",Pop,"Super strength",Healthy,"Business person",Health
USA,NY,2021,"12        ",Female,17,Right-Handed,173,"26 cm","208 ",1,"Rail (Train/Tram/Subway)",60,0.477,44,Walking/Hiking,1000,957,947,989,845,872,26,"Same length",70,80,"Ring finger",June,Fall,No,Yes,Desserts,Water,Science,8,10,3,"Yes - broadband connection","Text messaging",10,11,0,1,13,8,3,4,10,3,40,21,0,6,Some,"Graduate degree","Rhythm and blues (R&B)",,Rich,Relative,"International aid"
USA,NY,2021,"12        ",Male,16,Right-Handed,178,24,172,1,Car,42,0.223,28,Soccer,1000,900,800,800,600,700,26.5,"Left foot",60,80,"Ring finger",November,Fall,No,No,"No favorite",Water,History,6,9,4,"Yes - broadband connection",Other,412,500,10,0.1,15,39,2,15,5,1,20,1,0,0,Some,"Graduate degree",Pop,Invisibility,Rich,Relative,Environment
USA,NY,2021,"12        ",Male,17,Right-Handed,5'6,25,170,2,"Rail (Train/Tram/Subway)",40,0.768,55,Other,700,800,900,600,200,400,25,"Same length",7.3,7.6,"Ring finger",January,Spring,No,No,Poultry,Milk,"Physical education",6-7,6-8,6,"Yes - other","In person",0,0,0,0,5,10,9,1,1,0,1,0,10,1,Some,"Graduate degree","Rap/Hip hop","Super strength",Happy,Relative,"International aid"
USA,NY,2021,"12        ",Female,17,Right-Handed,151,23,158,2,"Rail (Train/Tram/Subway)",70,0.357,39,Dancing,750,650,600,800,850,950,23,"Same length",70,70,"Same length",May,Spring,No,No,Breads/Sandwiches,Water,"Social studies",7,10,8,"Yes - broadband connection","Text messaging",60,200,0,4,42,20,0,0,12,6,112,6,0,10,"A lot","Graduate degree","Rhythm and blues (R&B)",Fly,Happy,Relative,"International aid"
